timestamp,elapsed,angx,angy,heading,x,y,z,rcR,rcP,rcY,rcT,rPID,pPID
1433520084.02,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.04,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.06,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.07,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.09,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.09,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.10,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.12,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.14,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.15,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.18,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.18,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.20,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.22,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.23,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.25,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.26,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.28,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.30,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.31,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.31,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.33,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.34,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.36,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.38,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.39,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.41,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.42,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.44,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.46,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.47,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.49,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.50,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.50,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.52,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.54,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.55,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.57,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.58,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.60,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.62,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.63,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.63,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.65,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.68,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.68,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.70,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.71,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.73,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.74,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
1433520084.76,0.016,-2.1,-0.6,-7.0,0,0,0,1500,1500,1500,1000,0.0,0.0
